Zeit t / s;Spannung U_A1 / V;Zeit t / s;U_mean UM / arb.u;Phi &j / arb.u.;
0,436;-0,0249999999999999;10,925;-0,0142;-0,709999999999999;
0,438;-0,02;10,975;-0,0152;-0,760000000000001;
0,44;-0,00999999999999979;11,025;-0,014;-0,699999999999998;
0,442;-0,0150000000000001;11,075;-0,0144;-0,72;
0,444;-0,00999999999999979;11,125;-0,0144;-0,719999999999999;
0,446;-0,0150000000000001;;;;
0,448;-0,00999999999999979;;;;
0,45;-0,02;;;;
0,452;-0,02;;;;
0,454;-0,00999999999999979;;;;
0,456;-0,0249999999999999;;;;
0,458;-0,02;;;;
0,46;-0,02;;;;
0,462;-0,0150000000000001;;;;
0,464;-0,0150000000000001;;;;
0,466;-0,00999999999999979;;;;
0,468;-0,00999999999999979;;;;
0,47;-0,02;;;;
0,472;-0,0150000000000001;;;;
0,474;-0,02;;;;
0,476;-0,0249999999999999;;;;
0,478;-0,0150000000000001;;;;
0,48;-0,02;;;;
0,482;-0,00999999999999979;;;;
0,484;-0,02;;;;
0,486;-0,00999999999999979;;;;
0,488;-0,0150000000000001;;;;
0,49;-0,02;;;;
0,492;-0,0150000000000001;;;;
0,494;-0,02;;;;
0,496;-0,0249999999999999;;;;
0,498;-0,0300000000000002;;;;
0,5;-0,02;;;;
0,502;-0,0150000000000001;;;;
0,504;-0,0249999999999999;;;;
0,506;-0,00999999999999979;;;;
0,508;-0,02;;;;
0,51;-0,02;;;;
0,512;-0,0249999999999999;;;;
0,514;-0,0249999999999999;;;;
0,516;-0,0249999999999999;;;;
0,518;-0,0300000000000002;;;;
0,52;-0,0249999999999999;;;;
0,522;-0,0249999999999999;;;;
0,524;-0,0249999999999999;;;;
0,526;-0,00999999999999979;;;;
0,528;-0,02;;;;
0,53;-0,02;;;;
0,532;-0,0300000000000002;;;;
0,534;-0,0249999999999999;;;;
0,536;-0,0350000000000001;;;;
0,538;-0,0350000000000001;;;;
0,54;-0,0249999999999999;;;;
0,542;-0,0300000000000002;;;;
0,544;-0,0249999999999999;;;;
0,546;-0,0249999999999999;;;;
0,548;-0,0249999999999999;;;;
0,55;-0,02;;;;
0,552;-0,0350000000000001;;;;
0,554;-0,0249999999999999;;;;
0,556;-0,04;;;;
